,pangolin_lineage,dNdS
178,BA.4.5,0.702900095
179,BA.4.6,1.002648835
180,BA.4.6.1,1.620334535
181,BA.4.7,0.809071577
182,BA.4.8,1.943542696
183,BA.5,1.45062838
184,BA.5.1,1.103431384
185,BA.5.1.1,1.613381683
186,BA.5.1.10,0.875688725
187,BA.5.1.11,0.941062802
188,BA.5.1.12,0.940362168
189,BA.5.1.15,1.413326084
190,BA.5.1.16,1.828881502
191,BA.5.1.17,1.230669136
192,BA.5.1.18,0.899426483
193,BA.5.1.19,1.500855528
194,BA.5.1.2,0.599625961
195,BA.5.1.20,0.6932764
196,BA.5.1.21,1.333501858
197,BA.5.1.22,0.748290093
198,BA.5.1.23,0.917694486
199,BA.5.1.24,1.005025622
200,BA.5.1.25,1.11915096
201,BA.5.1.26,8.456937799
202,BA.5.1.27,2.350025654
203,BA.5.1.28,1.826793592
204,BA.5.1.3,1.245225641
205,BA.5.1.4,1.144962934
206,BA.5.1.5,0.894421941
207,BA.5.1.6,0.89415763
208,BA.5.1.7,1.057505849
209,BA.5.1.8,0.02173913
210,BA.5.1.9,1.970683303
211,BA.5.10,0.967762071
212,BA.5.10.1,0.884350133
213,BA.5.2,0.855374749
214,BA.5.2.1,1.376809724
215,BA.5.2.10,0.087331673
216,BA.5.2.12,1.896802016
217,BA.5.2.13,0.409574103
218,BA.5.2.14,1.400768579
219,BA.5.2.16,1.188389619
220,BA.5.2.18,1.467218924
221,BA.5.2.19,0.838003567
222,BA.5.2.2,1.027875536
223,BA.5.2.20,0.975258887
224,BA.5.2.21,1.53756707
225,BA.5.2.22,0.555556381
226,BA.5.2.23,0.85613277
227,BA.5.2.24,3.086926
228,BA.5.2.25,1.0348709
229,BA.5.2.26,0.761488666
230,BA.5.2.27,0.462544502
231,BA.5.2.28,0.743287966
232,BA.5.2.29,0.018617021
233,BA.5.2.3,1.384520417
234,BA.5.2.30,1.143895349
235,BA.5.2.31,1.401504827
236,BA.5.2.33,1.323228368
237,BA.5.2.4,0.988357324
238,BA.5.2.5,0.247208575
239,BA.5.2.6,0.538529764
240,BA.5.2.7,0.995977269
241,BA.5.2.8,1.266100618
242,BA.5.2.9,1.093328534
243,BA.5.3,1.28119195
244,BA.5.3.1,0.773917279
245,BA.5.3.2,0.936877149
246,BA.5.3.3,0.945857744
247,BA.5.3.4,0.726541555
248,BA.5.5,1.092010949
249,BA.5.5.1,1.614318311
250,BA.5.5.2,0.926947624
251,BA.5.6,1.252314169
252,BA.5.6.1,0.997466293
253,BA.5.6.2,1.227275332
254,BA.5.7,0.436024234
255,BA.5.8,1.334115227
256,BA.5.9,0.84781106
257,BC.1,1.617084696
258,BD.1,1.567484693
259,BE.1,0.952453722
260,BE.1.1,0.759976847
261,BE.1.1.1,0.54114395
262,BE.1.1.2,1.660884477
263,BE.1.2,1.468461736
264,BE.1.3,2.783898485
265,BE.2,1.444899237
266,BE.3,1.192667687
267,BE.4,1.454672193
268,BE.4.1,1.426008969
269,BE.4.1.1,4.484094053
270,BF.1,1.628914705
271,BF.1.1,1.211520044
272,BF.10,1.393287644
273,BF.11,1.215965984
274,BF.12,0.762308262
275,BF.13,0.715982183
276,BF.14,0.616092898
277,BF.15,0.521027846
278,BF.16,0.302301873
279,BF.17,1.627412108
280,BF.18,0.952947859
281,BF.2,1.101673507
282,BF.21,1.543612921
283,BF.22,1.76200894
284,BF.23,0.466070063
285,BF.24,1.380927667
286,BF.25,0.404269032
287,BF.26,1.410537271
288,BF.27,0.918690749
289,BF.28,1.297571529
290,BF.3,0.399877411
291,BF.3.1,0.312199808
292,BF.4,1.309147775
293,BF.5,0.908242646
294,BF.6,2.428625372
295,BF.7,0.835843531
296,BF.8,1.277130777
297,BF.9,0.549419199
298,BG.1,2.101582015
299,BG.2,0.845748462
300,BG.4,1.504227517
301,BG.5,0.998900392
302,BK.1,1.884385641
303,BL.1,0.794974386
304,BL.2,0.244186047
305,BL.4,3.84
306,BM.3,0.666666667
307,BN.2,1.115384615
308,BP.1,0.25
309,BQ.1,0.564789867
310,BQ.1.1,1.184934481
311,BQ.1.2,2.673995851
312,BQ.1.3,0.565788787
313,BR.1,0.556113903
314,BR.2,0.141025641
315,BT.1,0.86032436
316,BU.1,2.481116585
317,BV.1,0.758752631
318,BV.2,0.515970516
319,BW.1,2.431818182
320,CA.1,2.174242424
321,CC.1,1.468897904
322,CD.1,1.856540084
323,CD.2,1.195652174
324,CE.1,1.165097755
325,Delta,1.750376201
326,Unassigned,2.956951654
327,XAA,1.26653144
328,XAB,2.643574297
329,XAD,1.382789318
330,XAF,0.467144564
331,XAH,1.416430262
332,XAK,0.628606658
333,XAM,0.138946169
334,XAN,0.601131266
335,XAP,0.321966693
336,XAQ,0.596860643
337,XAR,2.612244898
338,XAT,0.078878354
339,XAU,1.033412888
340,XAY,0.859375
341,XAZ,0.556236089
342,XBB,0.419778438
343,XBB.1,1.13830599
344,XBC,5.529411765
345,XE,0.765244346
346,XG,1.932596634
347,XH,0.424346214
348,XJ,1.456232205
349,XM,0.92107899
350,XN,0.279450363
351,XP,2.166666667
352,XQ,0.780398536
353,XR,3.420289855
354,XY,0.868175766
355,XZ,3.882621734
